Sample,mesh bag size,pie tin wt (g),total wt (g),sub wt (g),sub wt dry (g),percent.moisture,total.wt.g,DNA wt,rinse tin wt,tin.dry,root tin wt (g),root dry (g),root.net.g
1,r,2.4605,81.7425,41.8593,24.3812,0.4436201103,48.86411042,0.3512,2.5232,7.2764,1.8908,1.9848,0.094
2,r,2.4665,95.0056,48.727,26.2637,0.4855827326,48.93411095,0.3599,2.5052,3.8356,1.8952,1.9773,0.0821
3,r,2.4474,82.0831,46.351,27.6825,0.4252156999,49.34015009,0.42,2.4921,6.0589,1.9126,2.0811,0.1685
4,r,2.4535,87.9961,47.7582,26.9025,0.4603429666,49.13986574,0.4141,2.4985,5.4747,1.9113,1.9786,0.0673
5,r,2.4545,91.7084,47.903,25.9804,0.4823613541,49.04936794,0.3626,2.51,5.3581,1.9056,2.0919,0.1863
6,r,2.4688,81.3564,47.6405,26.3948,0.4703320885,46.90253034,0.328,2.5075,7.6258,1.9031,2.0799,0.1768
7,r,2.5032,89.1268,43.2834,24.7447,0.4546005169,50.47966666,0.3022,2.502,5.7372,1.9097,2.0837,0.174
8,r,2.5081,86.226,46.7553,27,0.4464757092,49.55359122,0.3675,2.489,5.7027,1.9038,2.1438,0.24
9,r,2.5097,83.8485,46.022,24.4567,0.4956138839,47.22156142,0.365,2.4788,8.6742,1.9171,2.0704,0.1533
10,r,2.4958,88.1405,49.815,27.6562,0.4682834875,51.6447012,0.4197,2.4782,8.5842,1.9226,2.0916,0.169
11,r,2.4932,81.2889,43.2278,25.8571,0.4264360028,51.29057665,0.4074,2.5053,8.6015,1.914,2.0734,0.1594
12,r,2.4991,70.6471,37.9794,22.8877,0.4253543516,47.62045165,0.4175,2.4864,10.9459,1.9131,2.0956,0.1825
13,r,2.5023,86.8634,37.9541,21.0131,0.4778600804,45.84669797,0.2918,2.4765,4.2749,1.9048,1.9408,0.036
14,r,2.4896,91.1263,49.7001,27.0665,0.4794187734,49.68910201,0.3681,2.4918,6.0383,1.8914,2.0385,0.1471
15,r,2.4867,91.6322,49.5566,27.0959,0.4771775593,48.49626788,0.4007,2.487,4.376,1.8981,1.9714,0.0733
16,r,2.5034,92.7436,48.0133,23.976,0.5281773856,45.79116709,0.4118,2.4772,5.691,1.8998,2.0031,0.1033
17,r,2.4998,92.4977,48.8699,25.8981,0.4954011313,48.02853852,0.4525,2.4969,5.1126,1.8945,2.0467,0.1522
18,r,2.5188,93.1926,53.5366,28.1931,0.4967579943,49.99216498,0.3983,2.5041,6.8654,1.8946,2.0521,0.1575
19,r,2.6237,79.4886,40.6588,23.4356,0.452823839,47.1853409,0.3731,2.5216,7.6483,1.8965,2.119,0.2225
20,r,2.6429,80.3618,45.4788,27.5212,0.4192184593,48.82190248,0.3774,2.5311,6.2153,1.9327,2.0087,0.076
21,r,2.6149,90.1336,44.3944,25.0648,0.4626575234,50.039915,0.3904,2.5081,5.5205,1.9092,1.9154,0.0062
22,r,2.6259,90.1826,46.1417,25.1925,0.4814159455,47.01240849,0.4274,2.5153,4.1222,1.907,1.9213,0.0143
23,r,2.6492,83.8183,46.2275,26.7309,0.4473923948,47.68906196,0.4022,2.5114,5.3458,1.9033,1.9534,0.0501
24,r,2.6452,81.313,43.7687,24.88,0.4593164492,47.33808544,0.445,2.524,7.3277,1.9093,1.9971,0.0878
25,r,2.474,95.5855,48.6203,24.7162,0.5180068608,46.35360418,0.3666,2.5202,3.9947,1.9164,1.9435,0.0271
26,r,2.489,91.8509,46.5378,25.5855,0.475661085,48.80272169,0.4087,2.5012,4.448,1.8986,1.9177,0.0191
27,r,2.4846,42.3904,49.0865,25.3422,0.5095135606,21.58325375,0.3399,2.5287,4.5387,1.8942,1.9277,0.0335
28,r,2.5047,90.6757,43.2403,23.3218,0.4889703355,46.64999655,0.3879,2.5155,4.1075,1.8909,1.8962,0.0053
29,r,2.5341,94.7239,48.0091,24.3302,0.5207014843,45.7810343,0.3923,2.5131,4.1077,1.923,1.952,0.029
30,r,2.5241,95.0557,52.0503,26.8266,0.509300128,47.15474427,0.3308,2.5183,4.2678,1.9082,1.9209,0.0127
31,r,2.5077,76.7149,37.4115,22.4584,0.4284089411,46.53187202,0.3471,2.5188,6.6345,1.8985,1.999,0.1005
32,r,2.4944,88.5395,41.9429,23.5436,0.4664131716,48.99653201,0.4034,2.5253,5.6093,1.8977,1.9409,0.0432
33,r,2.4918,88.8342,49.253,26.7668,0.4808730315,47.06516837,0.4165,2.5218,4.7643,1.9045,1.92,0.0155
34,r,2.5047,68.3744,39.0114,27.3675,0.3189524115,47.46110034,0.3152,2.5333,5.134,1.9091,2.0271,0.118
35,r,2.5076,95.9273,48.5547,24.3912,0.5247561736,46.09243569,0.4039,2.5136,4.2089,1.9,1.9115,0.0115
36,r,2.4999,88.6874,44.8849,24.9955,0.4692556329,48.56543014,0.3794,2.4439,5.2658,1.8919,1.9823,0.0904
37,r,2.505,93.7123,52.4882,27.292,0.5040933754,46.75310428,0.3054,2.4311,3.9539,1.8964,1.9036,0.0072
38,r,2.4475,75.2986,44.5749,28.0268,0.3928108547,46.86149714,0.2713,2.5054,5.1325,1.9254,1.9719,0.0465
39,r,2.5091,64.6795,37.7604,26.3314,0.3242149935,41.81892417,0.3137,4.3668,4.1719,1.9273,2.3477,0.4204
40,r,2.5074,64.854,45.8503,33.71,0.280098932,48.52778393,0.3036,2.4547,6.0991,1.9096,2.0694,0.1598
41,r,2.5237,78.0036,38.784,23.0727,0.4332920577,49.65965881,0.2623,2.4484,9.333,1.9139,2.6997,0.7858
42,r,2.4958,61.7333,35.1625,27.5233,0.2338528226,45.38464342,0.2908,,,1.9033,2.2231,0.3198
43,r,2.5316,85.5132,44.4115,24.8356,0.4674294829,49.22555362,0.3763,2.4981,7.5301,1.9132,2.0744,0.1612
44,r,2.5147,82.8818,46.2696,25.089,0.4840737837,49.28839382,0.3995,2.4718,10.2967,1.911,2.0979,0.1869
45,r,2.495,76.249,46.7612,28.299,0.4170721679,47.79705933,0.3098,2.4832,7.287,1.9037,2.1845,0.2808
46,r,2.9955,71.1793,48.04,28.0953,0.4427776976,47.93793402,0.3926,2.4708,12.4152,1.8962,2.1612,0.265
47,r,2.4686,77.5018,37.129,22.5785,0.4198018488,48.02042392,0.29,2.494,6.9803,1.9009,1.9903,0.0894
48,r,2.47,75.0536,38.4947,22.9145,0.4324865995,46.85346566,0.3241,2.4968,8.1581,1.4166,2.1589,0.7423
49,r,2.5095,90.1039,45.55,26.0063,0.454076974,48.73509991,0.3623,2.4814,3.3967,1.9347,1.9389,0.0042
53,r,2.59,92.8752,52.0938,27.1521,0.5038340491,47.21274211,0.3675,2.4973,4.9136,1.9119,,
50,r,2.5215,89.8561,46.1628,25.6397,0.4702678426,47.07144607,0.4124,2.4778,3.2853,1.4193,,
51,r,2.5188,95.5322,48.576,25.7398,0.4958225858,47.9633555,0.4028,2.5077,3.5758,1.9147,,
52,r,2.4751,89.9141,48.6071,27.4954,0.4576367814,48.80989747,0.341,2.4847,3.8709,1.9081,,