"Sample","perC_OLF+FLF","perC_DF","C13_OLF+FLF","C13_DF","mesh.bag.size","total.wt.g","Species","N.treatment","total.fractionation.wt","FLF.OLF.wt","DF.wt","bulk.perC","bulk.C13","Myco..Association","total.fractionated.mgC","DF.mgC","OLF.FLF.mgC","recovery","mgC13.DF","mgC13.OLF.FLF","mgC13.total","perC13.DF","perC13.OLF.FLF"
1,31.0189050298123,4.46944281885421,14.7807919873464,-3.17773559746254,"r",48.86411042,"Black cherry",1,4.6996,0.337,4.3682,5.8433659935,12.4522501935,"AM",274.614828230526,195.23420121319,104.533709950467,109.15940449946,2.16268883710977,1.17858890565295,3.34127774276272,64.7264012036772,35.2735987963228
2,28.7223368246187,5.06211966428621,7.46893462526258,-9.12423941453165,"r",48.93411095,"Black cherry",1,4.5781,0.3386,4.2382,5.8187268045,1.0357520635,"AM",266.387131836814,214.542755611778,97.2538324881588,117.046415098962,2.3625563081498,1.08869798077944,3.45125428892924,68.4550053506138,31.5449946493862
3,27.9149450221365,5.0889848964383,18.6131305431376,-5.06533656261411,"r",49.34015009,"Black cherry",2,4.913,0.3231,4.5962,5.0457483225,6.532722431,"AM",247.897615084425,233.899923810097,90.1931873665231,130.736679764445,2.58615268279149,1.02070034137189,3.60685302416337,71.7010830623285,28.2989169376715
4,31.2708066942087,4.69017222274009,2.09552977666163,-17.0617184688558,"r",49.13986574,"Black cherry",2,5.2766,0.2055,5.0823,5.111306146,-14.440092355,"AM",269.703180099836,238.36862287632,64.2615077565988,112.208588167516,2.6041305832373,0.715574731057913,3.31970531429522,78.4446309744264,21.5553690255736
5,38.4853700094203,5.51343573812258,16.3659966759094,2.40757431135632,"r",49.04936794,"Black cherry",3,5.2085,0.3753,4.8351,5.669898328,10.178917945,"AM",295.31665441388,266.580131373965,144.435593645355,139.177970113155,2.96937858047333,1.63098683412497,4.6003654145983,64.5465808227022,35.4534191772978
6,31.6637855581571,5.9350755013088,16.0819893029013,-6.27213851845113,"r",46.90253034,"Black cherry",3,5.3346,0.568,4.774,6.043398066,1.2911781245,"AM",322.391113228836,283.340504432482,179.850301970332,143.673565243108,3.12904257806073,2.03033355674814,5.15937613480887,60.6476925950398,39.3523074049602
7,32.6049248208841,5.10167824855743,104.882014463368,-1.67173288007171,"r",50.47966666,"Red Oak",1,4.822,0.3005,4.5242,5.405671059,27.31908024,"EcM",260.66145846498,230.810127321235,97.9777990867566,126.135995840814,2.56059780941727,1.20155260231194,3.76215041172921,68.0620796402538,31.9379203597462
8,28.0781863062804,4.76724197165405,96.885553791472,-2.49685432760681,"r",49.55359122,"Red Oak",1,5.2998,0.4191,4.936,5.4050301145,31.281973855,"EcM",286.455786008271,235.311063720844,117.675678809621,123.225558627841,2.60839731265647,1.43280068888313,4.04119800153961,64.5451500189481,35.4548499810519
9,32.3941072006697,5.98224771790095,147.210311441539,0.66903011493503,"r",47.22156142,"Red Oak",2,5.2651,0.3928,4.8773,6.5863921355,56.4104077,"EcM",346.780132326211,291.772167945183,127.244053084231,120.830515352377,3.24441324406038,1.61948059752772,4.86389384158809,66.7040307565811,33.2959692434189
10,33.1793168618489,5.47665158587077,114.529730313044,3.88606726432952,"r",51.6447012,"Red Oak",2,5.4784,0.3503,5.1323,5.470545138,36.274427835,"EcM",299.698344840192,281.078189341645,116.227146967057,132.568411921179,3.1354356590083,1.43764592119931,4.5730815802076,68.5628630063922,31.4371369936078
11,32.189506464323,4.62768433182944,159.320316076212,5.39162891222265,"r",51.29057665,"Red Oak",3,5.2604,0.3561,4.9248,4.7682193105,38.75684052,"EcM",250.827408609542,227.904197973936,114.626832519454,136.560447038944,2.54604833110445,1.47409885095049,4.02014718205494,63.3322168518968,36.6677831481032
12,29.741163538724,5.57135273730533,160.983414251229,-0.56260793255052,"r",47.62045165,"Red Oak",3,4.9825,0.465,4.5348,5.979427421,49.241585705,"EcM",297.924971251325,252.649703931322,138.296410455066,131.223009855254,2.80596452192733,1.78100763362078,4.58697215554811,61.1724777647366,38.8275222352634
13,32.0018412910589,6.0753167254516,8.41896068840313,-10.8770310255097,"r",45.84669797,"White pine",1,5.0139,0.335,4.6627,7.0364837245,-2.705981873,"EcM",352.802257462705,283.273792957632,107.206168325047,110.679552928869,3.11396877694233,1.2012273776304,4.31519615457273,72.1628557636371,27.8371442363629
13,32.0018412910589,6.0753167254516,8.41896068840313,-10.8770310255097,"r",45.84669797,"White pine",1,5.2786,0.4868,4.8577,7.0364837245,-2.705981873,"EcM",371.427829881457,295.120660572263,155.784963404875,121.397910361495,3.2441988821397,1.74554473859844,4.98974362073814,65.017346154947,34.9826538450531
14,29.6003051674513,5.17976190665261,107.647105354383,-5.31086600655657,"r",49.68910201,"White pine",1,5.1023,0.3308,4.7728,5.5222344005,24.98285236,"EcM",281.760965816712,247.219676280716,97.9178094939288,122.493009198144,2.73275760332227,1.2037851523609,3.93654275568317,69.4202444359838,30.5797555640162
15,34.3125902975288,5.46211335233414,192.21332846595,9.8654028020072,"r",48.49626788,"White pine",2,5.0509,0.2536,4.8021,6.14906028,69.43009613,"EcM",310.58288568252,262.296145292438,87.0167289945329,112.470097481173,2.94315318704752,1.15036368426316,4.09351687131068,71.8979127135042,28.1020872864958
16,30.5915338988213,5.2626956525278,32.7901655172544,-10.5583181475835,"r",45.79116709,"White pine",2,5.2769,0.4625,4.8257,5.9142179795,7.2293753825,"EcM",312.087368560236,253.961904104034,141.485844282049,126.710590758741,2.79263905351125,1.62319964969183,4.41583870320308,63.2414189287661,36.7585810712339
17,31.981707311039,6.21569291207645,74.3091274168976,10.0073622016615,"r",48.02853852,"White pine",3,4.899,0.4135,4.5251,6.8827579835,30.70292033,"EcM",337.186313611665,281.266319964372,132.244359731146,122.635665506802,3.15645099001261,1.57744064672129,4.7338916367339,66.6777195641591,33.3222804358409
18,29.235542160193,4.76800582878337,176.57596834075,4.65898537967493,"r",49.99216498,"White pine",3,4.9851,0.4019,4.617,6.3438445095,82.915570405,"EcM",316.246992643085,220.138829114928,117.497643941816,106.763536384929,2.4575248287558,1.53321436717247,3.99073919592826,61.580692400626,38.419307599374
19,28.4521834380409,5.07063171470285,-2.8468471301774,-19.1120029694246,"r",47.1853409,"White cedar",1,5.354,0.4469,4.9512,5.890632762,-14.57056353,"AM",315.38447807748,251.057117458368,127.152807784605,119.920272407971,2.7370912488226,1.40898585664471,4.14607710546731,66.0164097096332,33.9835902903668
20,29.0382339459429,5.20155170113006,-3.7390300224858,-17.7542208260503,"r",48.82190248,"White cedar",1,4.983,0.4007,4.6161,5.5779876095,-15.206244015,"AM",277.951122581385,240.108828075865,116.356203421393,128.247379678376,2.62131409720053,1.28820736213971,3.90952145934024,67.0494873723727,32.9505126276273
21,34.7911067033608,5.20465573541559,-27.1891594650997,-26.101483769882,"r",50.039915,"White cedar",2,5.454,0.3285,5.1408,5.4504239335,-26.217224865,"AM",297.26612133309,267.560942046245,114.28878552054,128.453833169545,2.89645961952153,1.23585730125594,4.13231692077747,70.0928722324757,29.9071277675243
22,31.1948531681974,6.07146444217733,-27.9174003472474,-26.210345918071,"r",47.01240849,"White cedar",2,4.6979,0.3783,4.3286,6.70415042,-26.35431091,"AM",314.95428258118,262.809409844088,118.010129535291,120.912640481789,2.84470771331791,1.2751529511627,4.1198606644806,69.0486388979988,30.9513611020011
23,28.6391872488923,5.38667012237479,-17.938928757572,-23.1576949889351,"r",47.68906196,"White cedar",3,5.4748,0.4185,5.1043,5.8154453335,-21.70455755,"AM",318.384001118458,274.951803056376,119.854998636614,124.003341972607,2.98536803729724,1.30823662302389,4.29360466032113,69.530575669581,30.469424330419
24,34.54557335351,6.39676660370998,-15.2174296152904,-20.8717208847529,"r",47.33808544,"White cedar",3,5.355,0.337,5.0215,5.8967319855,-19.81571383,"AM",315.769997823525,321.213635005296,116.418582201329,138.592082915745,3.49574204684167,1.27421049646429,4.76995254330596,73.2867259182172,26.7132740817827
25,33.9643593237372,6.27062826811968,-21.5061635391283,-21.9948487148727,"r",46.35360418,"Basswood",1,4.5826,0.3045,4.2631,6.6552386895,-22.38351694,"EcM",304.982968185027,267.32315369821,103.42147414078,121.56240397466,2.90595544953603,1.12480617755425,4.03076162709028,72.0944505873393,27.9055494126607
26,32.8079801023504,4.82136237449788,-22.3512008067612,-23.2496448293922,"r",48.80272169,"Basswood",1,5.2413,0.2284,5.0305,5.832277529,-22.992127135,"EcM",305.687162127477,242.538634249116,74.9334265537683,103.855215440972,2.63318757037456,0.814275593021109,3.44746316339566,76.380441082971,23.619558917029
27,31.2514972245169,5.5760565106473,-21.2873008017153,-21.4108152571394,"r",21.58325375,"Basswood",2,5.0634,0.3195,4.7502,6.3924890875,-22.771595785,"EcM",323.677292456475,264.873836368768,99.8485336323315,112.68086408939,2.88103071200759,1.08618733091754,3.96721804292512,72.6209318679983,27.3790681320017
28,31.9311400007645,4.91774338070745,-25.1813454829638,-25.549173331763,"r",46.64999655,"Basswood",2,5.3493,0.3483,5.0329,5.9208846395,-25.46269813,"EcM",316.725882020774,247.505106607625,111.216160622663,113.259221173077,2.68084980780137,1.20508684503062,3.88593665283198,68.9885102951337,31.0114897048663
29,33.7400482547421,6.08532677441192,-10.9575658018602,-8.61194965458659,"r",45.7810343,"Basswood",3,5.4196,0.4815,4.9784,7.7750572545,-8.916103066,"EcM",421.377002964882,302.951908137323,162.458332346583,110.449843538968,3.33782842348994,1.78572621271931,5.12355463620926,65.146732307699,34.853267692301
30,30.9340641136905,5.08381053479548,-27.1304248278904,-25.9953836216288,"r",47.15474427,"Basswood",3,5.2002,0.3345,4.881,5.309049964,-25.912534805,"EcM",276.081216227928,248.140792203367,103.474444460295,127.359347900501,2.68651781704003,1.11898367361123,3.80550149065126,70.5956317095089,29.4043682904911
31,28.6239771284697,5.40329066956584,-0.206472700674823,-10.4364246583248,"r",46.53187202,"Black gum",1,5.3068,0.4306,4.8833,6.6086982,-5.7549258315,"AM",350.7103960776,263.858893266909,123.254845515191,110.379886969887,2.90182274161659,1.3693686846006,4.27119142621719,67.9394213943394,32.0605786056606
32,31.8944364306543,5.46740309396422,-20.0884753372475,-21.6051622874445,"r",48.99653201,"Black gum",1,5.0946,0.3036,4.7957,6.153421164,-21.670497755,"AM",313.492194621144,262.200250177242,96.8315090034664,114.526538568081,2.85138989969798,1.05464329661238,3.90603319631036,72.9996330392533,27.0003669607467
33,35.682864918487,5.04056627073744,-26.693699004254,-25.6017152785012,"r",47.06516837,"Black gum",2,5.3259,0.3422,4.9968,6.056222551,-25.52065386,"AM",322.548356843709,251.867015416208,122.106763751062,115.943476763232,2.72795028765696,1.32106191549719,4.04901220315415,67.3732295875005,32.6267704124995
34,33.5067919659736,5.20103144659802,3.68260121697017,-14.2453559595334,"r",47.46110034,"Black gum",2,4.911,0.4328,4.4627,5.871466936,-4.791075489,"AM",288.34774122696,232.10643036733,145.017395628734,130.787855105557,2.54290321674248,1.61734920056896,4.16025241731144,61.1237723499919,38.8762276500081
35,33.825648073334,5.44072866967874,-27.8890956872971,-26.0852785697161,"r",46.09243569,"Black gum",3,5.3642,0.4571,4.9165,6.5477739995,-26.29461114,"AM",351.235692881179,267.493425044755,154.61703734321,120.178692240929,2.89577638152112,1.67075530750487,4.56653168902599,63.4130359476115,36.5869640523885
36,30.9717608515635,5.53018621668711,-21.552236874588,-22.3111941462334,"r",48.56543014,"Black gum",3,4.9447,0.51,4.4272,4.8973878105,-20.733627515,"AM",242.161135065794,244.832404185172,157.955980342974,166.330730329089,2.66061662646847,1.71784041148278,4.37845703795126,60.7660781733607,39.2339218266393
37,29.60974997348,5.62111512637363,-27.887929228078,-26.2854341444924,"r",46.75310428,"Black birch",1,5.3065,0.4797,4.8213,6.00051841,-26.288228625,"EcM",318.41750942665,271.010823587852,142.037970622784,129.719246581126,2.9332578958602,1.53483069550912,4.46808859136932,65.6490540838012,34.3509459161988
38,25.7016096539465,5.49862094980311,5.56930658603627,-7.12461084884396,"r",46.86149714,"Black birch",1,4.5962,0.4943,4.1166,6.290246679,1.631075861,"EcM",289.112317860198,226.356230019595,127.043056519457,122.235983978358,2.49762168187003,1.41951876803632,3.91714044990635,63.7613512665787,36.2386487334213
39,27.024282529442,5.19216586360972,36.4555873868123,11.545381195466,"r",41.81892417,"Black birch",2,4.7807,0.621,4.1887,5.7868839405,24.27302649,"EcM",276.653560543484,217.48425152902,167.820794507835,139.273481707565,2.44434523029127,1.93208239432091,4.37642762461218,55.8525226498605,44.1474773501395
40,22.4901546611964,4.55196561048537,25.3193478611838,-0.622382025123656,"r",48.52778393,"Black birch",2,5.4136,0.9426,4.5196,5.968255024,12.40711062,"EcM",323.097453979264,205.730637731497,211.992197836437,129.286947459123,2.28473938263558,2.41469303019292,4.6994324128285,48.6173474140984,51.3826525859016
42,29.3721065572067,5.39970923137005,118.604521711538,5.05824272510897,"r",45.38464342,"Black birch",3,5.1068,0.4136,4.6974,5.7244454525,34.209348925,"EcM",292.33598036827,253.645941434377,121.483032720607,128.321178146602,2.83269495989485,1.50808304561249,4.34077800550735,65.2577707567833,34.7422292432167
43,31.2678533516133,3.94546172790218,0.236586733716461,-13.1610708536328,"r",49.22555362,"Red maple",1,4.8408,0.2582,4.5788,5.219571856,-7.571156889,"AM",252.669034405248,180.654801597185,80.7335973538655,103.450903497663,1.98136449220749,0.897348150005787,2.87871264221328,68.8281443292698,31.1718556707302
44,32.7329422927464,6.50343339141554,18.1812148233721,-2.65460095813002,"r",49.28839382,"Red maple",1,4.8149,0.3629,4.4566,5.637227109,2.2787626805,"AM",271.426848071241,289.832012521825,118.787847580377,150.545114827753,3.21225360667855,1.34373748413135,4.5559910908099,70.5061432880791,29.4938567119209
45,28.5886583495018,6.1404177555929,13.7879312337294,-5.50707915344217,"r",47.79705933,"Red maple",2,4.8329,0.4254,4.9017,6.024352711,-4.0741104665,"AM",291.150942169919,300.984857125897,121.616152618781,145.148425965952,3.32642697242102,1.36986230211486,4.69628927453588,70.8309641498769,29.1690358501231
46,30.2041380789797,4.95947904705346,-2.37239168472856,-7.29483388457062,"r",47.93793402,"Red maple",2,5.2111,0.4136,4.7975,6.2469252205,-4.1171537915,"AM",325.533520165475,237.93100728239,124.92431509466,111.464810810451,2.62489299993146,1.38494318894154,4.009836188873,65.4613524416619,34.5386475583381
47,32.5309262215664,5.21711923827282,-23.808100273907,-24.1701658118509,"r",48.02042392,"Red maple",3,5.1942,0.3407,4.8546,5.9777429805,-25.019294655,"AM",310.495925893131,253.270270541192,110.832865636877,117.265028560597,2.7471352430016,1.20260705869413,3.94974230169573,69.5522652660701,30.4477347339299
48,31.1840211662377,5.31192126716528,15.6277624979529,-0.552950504842862,"r",46.85346566,"Red maple",3,5.2585,0.316,4.9441,6.064874743,6.8201500405,"AM",318.921438360655,262.626699369919,98.5415068853112,113.246763250453,2.91679836216056,1.11194529815832,4.02874366031888,72.3997009511817,27.6002990488183
49,32.216617368339,4.35835691752257,-27.6953299594012,-25.2251892224719,"r",48.73509991,"Control",1,5.2788,0.2637,5.0079,4.983856402,-24.8099113033333,"Control",263.087811748776,218.262156072613,84.95522000031,115.253296630277,2.36488249432893,0.918187111880936,3.28306960620987,72.0326638782132,27.9673361217868
50,29.6520640319685,5.07200094563964,-27.0332995449774,-25.7891779704729,"r",47.07144607,"Control",2,4.9812,0.3622,4.6443,5.848760653,-25.4874753066667,"Control",291.338465647236,235.558939918342,107.39977592379,117.718309211321,2.55083337646086,1.16154732275955,3.7123806992204,68.7115245749588,31.2884754250412
51,33.7782171140387,5.32282094856406,-25.6437559760734,-23.8653463784406,"r",47.9633555,"Control",2,5.0594,0.2339,4.8248,5.68002154833333,-23.9331130933333,"Control",287.375010216377,256.815465126319,79.0072498297366,116.858704834217,2.78644943741917,0.855684303260486,3.64213374067966,76.5059614998979,23.4940385001021
52,29.0150344966036,4.68360026864364,-26.7801338615242,-24.9154706321182,"r",48.80989747,"Control",3,5.2511,0.3186,4.9385,5.2126679855,-24.85915931,"Control",273.72240858659,231.299599266966,92.4418999061791,118.273655724731,2.50693156543039,1.00003260987192,3.50696417530231,71.4843790844907,28.5156209155093
53,30.9178150777254,4.39929621326449,-26.1736473734133,-25.5279751633852,"r",47.21274211,"Control",3,4.6689,0.2549,4.4316,4.974071686,-25.231304875,"Control",232.234432947654,194.959210987029,78.8095106331221,117.884638442853,2.11174475209923,0.853083534390048,2.96482828648928,71.2265449477277,28.7734550522723
